@relation ecoli1-weka.filters.supervised.attribute.Discretize-R2-last

@attribute Mcg numeric
@attribute Gvh {'\'(-inf-0.335]\'','\'(0.335-0.705]\'','\'(0.705-inf)\''}
@attribute Lip {'\'All\''}
@attribute Chg {'\'All\''}
@attribute Aac {'\'(-inf-0.505]\'','\'(0.505-inf)\''}
@attribute Alm1 {'\'(-inf-0.6]\'','\'(0.6-inf)\''}
@attribute Alm2 {'\'(-inf-0.625]\'','\'(0.625-inf)\''}
@attribute Class {positive,negative}

@data
0.49,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.07,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.56,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.59,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.23,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.67,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.29,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.21,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.2,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.42,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.42,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.25,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.39,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.51,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.22,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.25,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.34,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.44,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.23,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.41,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.4,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.31,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.51,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.3,'\'(-inf-0.335]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.36,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.29,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.25,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.21,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.43,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(0.505-inf)\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
0.43,'\'(0.335-0.705]\'','\'All\'','\'All\'','\'(-inf-0.505]\'','\'(-inf-0.6]\'','\'(-inf-0.625]\'',negative
