@relation ecoli3-weka.filters.supervised.attribute.Discretize-R2-last

@attribute Mcg numeric
@attribute Gvh {'\'All\''}
@attribute Lip {'\'All\''}
@attribute Chg {'\'All\''}
@attribute Aac {'\'(-inf-0.495]\'','\'(0.495-inf)\''}
@attribute Alm1 {'\'(-inf-0.585]\'','\'(0.585-inf)\''}
@attribute Alm2 {'\'(-inf-0.615]\'','\'(0.615-inf)\''}
@attribute Class {positive,negative}

@data
0.68,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.75,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.87,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',positive
0.41,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.2,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',negative
0.41,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',negative
0.35,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.76,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',positive
0.76,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',positive
0.3,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.18,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.81,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',positive
0.25,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.78,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(0.585-inf)\'','\'(0.615-inf)\'',positive
0.69,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.64,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.63,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',negative
0.69,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.36,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.37,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.37,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(0.585-inf)\'','\'(0.615-inf)\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.3,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.06,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(0.585-inf)\'','\'(-inf-0.615]\'',negative
0.4,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',negative
0.2,'\'All\'','\'All\'','\'All\'','\'(-inf-0.495]\'','\'(-inf-0.585]\'','\'(-inf-0.615]\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'(0.495-inf)\'','\'(0.585-inf)\'','\'(0.615-inf)\'',negative
