@relation ecoli4-weka.filters.supervised.attribute.Discretize-R2-last

@attribute Mcg numeric
@attribute Gvh {'\'(-inf-0.565]\'','\'(0.565-inf)\''}
@attribute Lip {'\'All\''}
@attribute Chg {'\'All\''}
@attribute Aac {'\'(-inf-0.715]\'','\'(0.715-inf)\''}
@attribute Alm1 {'\'(-inf-0.325]\'','\'(0.325-0.6]\'','\'(0.6-inf)\''}
@attribute Alm2 {'\'(-inf-0.335]\'','\'(0.335-inf)\''}
@attribute Class {positive,negative}

@data
0.49,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.07,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(0.325-0.6]\'','\'(0.335-inf)\'',negative
0.56,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(0.325-0.6]\'','\'(0.335-inf)\'',negative
0.59,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(0.325-0.6]\'','\'(0.335-inf)\'',negative
0.23,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.67,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(0.325-0.6]\'','\'(0.335-inf)\'',negative
0.29,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.21,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.2,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(0.325-0.6]\'','\'(0.335-inf)\'',negative
0.42,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(-inf-0.335]\'',negative
0.42,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.25,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(-inf-0.335]\'',negative
0.39,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.51,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
0.22,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(-inf-0.335]\'',negative
0.25,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(0.325-0.6]\'','\'(0.335-inf)\'',negative
0.34,'\'(-inf-0.565]\'','\'All\'','\'All\'','\'(-inf-0.715]\'','\'(-inf-0.325]\'','\'(0.335-inf)\'',negative
