@relation glass0-weka.filters.supervised.attribute.Discretize-R2-last

@attribute RI numeric
@attribute Na {'\'All\''}
@attribute Mg {'\'(-inf-2.696245]\'','\'(2.696245-inf)\''}
@attribute Al {'\'(-inf-1.41992]\'','\'(1.41992-inf)\''}
@attribute Si {'\'All\''}
@attribute K {'\'(-inf-0.009315]\'','\'(0.009315-0.655155]\'','\'(0.655155-inf)\''}
@attribute Ca {'\'(-inf-10.67824]\'','\'(10.67824-inf)\''}
@attribute Ba {'\'(-inf-0.124425]\'','\'(0.124425-inf)\''}
@attribute Fe {'\'All\''}
@attribute Class {positive,negative}

@data
1.515888,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.655155-inf)\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.517642,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.52213,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.522221,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.517551,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.520991,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.517551,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.5191,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.517938,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
1.518986,'\'All\'','\'(2.696245-inf)\'','\'(-inf-1.41992]\'','\'All\'','\'(0.009315-0.655155]\'','\'(-inf-10.67824]\'','\'(-inf-0.124425]\'','\'All\'',positive
