@relation glass2-weka.filters.supervised.attribute.Discretize-R2-last

@attribute RI numeric
@attribute Na {'\'All\''}
@attribute Mg {'\'(-inf-3.335]\'','\'(3.335-inf)\''}
@attribute Al {'\'All\''}
@attribute Si {'\'All\''}
@attribute K {'\'All\''}
@attribute Ca {'\'All\''}
@attribute Ba {'\'All\''}
@attribute Fe {'\'All\''}
@attribute Class {positive,negative}

@data
1.51673,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.5175,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51775,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51646,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51761,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51846,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51811,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.5159,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52152,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51735,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51841,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51761,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51747,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51593,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51721,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51778,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52475,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51707,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51766,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51753,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51793,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51592,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51605,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51409,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52152,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.53393,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51784,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51687,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51783,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51755,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51674,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52172,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51768,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51683,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51966,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51832,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',positive
1.5221,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52222,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52739,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51629,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51813,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.5164,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51567,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.518,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52068,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51831,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52213,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51841,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51824,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52227,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.52101,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51756,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51625,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51689,'\'All\'','\'(-inf-3.335]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
1.51593,'\'All\'','\'(3.335-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',negative
