@relation glass5-weka.filters.supervised.attribute.Discretize-R2-last

@attribute RI numeric
@attribute Na {'\'(-inf-13.785675]\'','\'(13.785675-inf)\''}
@attribute Mg {'\'(-inf-2.54583]\'','\'(2.54583-inf)\''}
@attribute Al {'\'All\''}
@attribute Si {'\'All\''}
@attribute K {'\'(-inf-0.009315]\'','\'(0.009315-inf)\''}
@attribute Ca {'\'All\''}
@attribute Ba {'\'All\''}
@attribute Fe {'\'All\''}
@attribute Class {positive,negative}

@data
1.515888,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517642,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.52213,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.522221,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517551,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.520991,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517551,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.5191,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517938,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.518986,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.512152,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.519761,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51762,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517847,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517209,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51746,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.522107,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.518235,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.519191,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51762,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517506,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517825,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517938,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.518371,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.521515,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.515957,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517346,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517756,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517779,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517551,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.521515,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517437,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.515706,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517209,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.5191,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51869,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.52172,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517551,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51762,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517847,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517528,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51787,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.523201,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.522996,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.521014,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517506,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.52213,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.526663,'\'(13.785675-inf)\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51926,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.52172,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.516184,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.51762,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517688,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.517961,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
1.518075,'\'(-inf-13.785675]\'','\'(2.54583-inf)\'','\'All\'','\'All\'','\'(0.009315-inf)\'','\'All\'','\'All\'','\'All\'',negative
