@relation iris0-weka.filters.supervised.attribute.Discretize-R2-last

@attribute SepalLength numeric
@attribute SepalWidth {'\'(-inf-2.95]\'','\'(2.95-3.35]\'','\'(3.35-inf)\''}
@attribute PetalLength {'\'(-inf-2.45]\'','\'(2.45-inf)\''}
@attribute PetalWidth {'\'(-inf-0.8]\'','\'(0.8-inf)\''}
@attribute Class {positive,negative}

@data
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.9,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.6,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.4,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.6,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.4,'\'(-inf-2.95]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.4,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.8,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.8,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.3,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.7,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.4,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.7,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.4,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.6,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.8,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.2,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.2,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.7,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.8,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.4,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.2,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.5,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.9,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.5,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.9,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.4,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.5,'\'(-inf-2.95]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.8,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.1,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
4.6,'\'(2.95-3.35]\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
5.3,'\'(3.35-inf)\'','\'(-inf-2.45]\'','\'(-inf-0.8]\'',positive
